"Index","What's your age? ","What zip code do you live in?  ","What's your gender identity?","How many times have you attended Burning Man?","How many times have you attended Witch's Tit?","What day did you arrive at Witch's Tit?","How many different regional burns have you attended?","Have you ever winter camped aside from this event?","Do you go winter camping most years?","What did you sleep in at the event?","What would you have done differently?"
0,26,53207,"Bimodal",0,1,"2024-02-09",0,"No","No","Camping pod","A shag rug on the tent floor would have been nice. Two coolers too, so I could separate water from things I wanted cold-but-not-frozen. My personal lighting could have been better"
1,32,55016,"Genderqueer ",0,1,"2024-02-14",0,"No","No","Camping pod","Arrive earlier. Do not miss volunteer shift. :/"
2,34,55016,"Little fierce curious animal",0,1,"2024-02-14",0,"No","No","Car","Better bedding, more heat for tent. Bring a wagon since everything is spread out."
3,36,55102,"Man",0,1,"2024-02-14",0,"No","No","Collapsible ice fishing house tent thing","Better developed camping, parking sites and roads, more organized events"
4,36,55104,"Man",0,1,"2024-02-14",1,"No","No","Nope","Better heater and warmer sleeping bag"
5,36,55124,"Man",0,1,"2024-02-14",1,"No","No","RV","Better insulation in the dome"
6,36,55128,"Man",0,1,"2024-02-15",1,"No","No","RV","Bring drums for conclave "
7,36,55303,"Man",0,1,"2024-02-15",2,"No","No","RV","Brought a more convenient way to cook food and heat water than the stove I brought "
8,37,55303,"Man",0,1,"2024-02-15",2,"No","No","RV","Canvas wall tent with a pot belly stove or upgrade my current tent with insulation, a sleep canopy and more propane for the heater"
9,37,55316,"Man",0,1,"2024-02-15",2,"No","No","RV","Changed clothes...I was going to say more often, but actually, ever"
10,37,55345,"Man",1,1,"2024-02-15",2,"No","No","RV","Communicated a few things more clearly. Ticket sale dates on the ticketing site, the house is only for medical issues, how participants could get ahold of a lead if needed."
11,38,55406,"Man",1,1,"2024-02-15",2,"No","No","Tent","Coordinated with a larger group camp."
12,38,55406,"Man",1,1,"2024-02-15",2,"Yes","No","Tent","Definitely brought more blankets and a cot so as not to sleep near the cold ground. But that didn’t stop me from having a good time!"
13,39,55406,"Man",1,1,"2024-02-15",2,"Yes","No","Tent","Earplugs for rave tent. Buddy heat plus tent"
14,40,55407,"Man",1,1,"2024-02-15",4,"Yes","No","Tent","Found additional/better tent heating and/or brought more fuel. And a large battery/inverter for charging devices."
15,40,55407,"Man",2,1,"2024-02-15",4,"Yes","No","Tent","Gifted more time, more things, helped more"
16,41,55407,"Man",2,1,"2024-02-15",4,"Yes","No","Tent","Given away my gifts! Trained Rangers ahead of time!"
17,42,55408,"Man",3,1,"2024-02-15",4,"Yes","No","Tent","Gotten better boots. "
18,42,55408,"Man",3,1,"2024-02-15",5,"Yes","No","Tent","I needed better winter camping gear and am already looking at some for next year "
19,42,55409,"Nb",3,1,"2024-02-15",5,"Yes","No","Tent","I would have brought more warm drinks."
20,42,55412,"Woman",4,1,"2024-02-15",5,"Yes","No","Tent","It turns I really need a way to be warm and horizontal and comfortable once in awhile.  Also: find a system to pee in the tent at night."
21,43,55413,"Woman",4,1,"2024-02-15",5,"Yes","No","Tent","Light up the paths more. (Overall, 1st event was good, gotta start somewhere 😉) "
22,44,55418,"Woman",6,1,"2024-02-15",5,"Yes","No","Tent","Lots of things"
23,44,55418,"Woman",6,1,"2024-02-15",5,"Yes","No","Tent","More flat ground so camps can be closer together. Winter camping in its self is extra effort and some year it's going to snow which will amplify the difficulty.

Add permant map points at trail intersections, center camp and gate. I like the idea of a permant board that the map can be nailed or stapled to each year, (think state park map) Could also have a message board too. (AKA snow on Sunday must use transport for packout plan accordingly or party at xyz camp 10pm)

Also, transport in will be nessisary under some weather conditions (snow, ice or mudd), but roads should be built so that drive in can be done, when weather permits. Load/ unload is a lot of extra work and requires extra volunteers. If it can be avoided it should be."
24,46,55418,"Woman",6,1,"2024-02-16",6,"Yes","No","Tent","More trail lighting"
25,47,55418,"Woman",6,1,"2024-02-16",6,"Yes","No","Tent","Volunteered less and wandered more"
26,48,55428,"Woman",7,1,"2024-02-16",7,"Yes","No","Tent","Warmer tent and a sleeping arrangement where I could share with my partner, not separate cots."
27,50,55712,"Woman",7,1,"2024-02-16",7,"Yes","No","Tent","Work on the grounds so people have better places to camp."
28,58,55712,"Woman",9,1,"2024-02-16",8,"Yes","No","Tent","Worried less, volunteered more."
29,62,55756,"Woman",10,1,"2024-02-16",8,"Yes","No","Tent","waterproof layer on top of mattress."
30,68,91106,"Woman",10,1,"2024-02-16",10,"Yes","No","Tent",""
