"Index","What day did you arrive at Witch's Tit?","What's your age?","What zip code do you live in?","What's your gender identity?","How many times have you attended Burning Man?","How many times have you attended Witch's Tit?","How many different regional burns have you attended?","Have you ever winter camped aside from this event?","Do you go winter camping most years?","What did you sleep in at the event?"
1,2026-01-29,"18-20",50131,"cis femme",0,1,0,"yes","no","camper"
2,2026-02-04,"18-20",53570,"female",0,1,0,"no","no","car"
3,2026-02-04,"31-40",54723,"female",0,1,0,"no","no","car"
4,2026-02-04,"31-40",55016,"female",0,1,0,"no","no","car"
5,2026-02-04,"31-40",55016,"female",0,1,0,"no","no","dope van"
6,2026-02-04,"31-40",55037,"female",0,1,0,"no","no","hut"
7,2026-02-04,"31-40",55037,"female",0,1,"1-2","no","no","micro camper van"
8,2026-02-04,"31-40",55102,"female",0,1,"1-2","no","no","n/a"
9,2026-02-04,"31-40",55102,"female",0,1,"1-2","no","no","rv"
10,2026-02-04,"31-40",55104,"female",0,1,"1-2","no","no","rv"
11,2026-02-04,"31-40",55104,"female (trans af)",0,1,"1-2","no","no","rv"
12,2026-02-04,"31-40",55104,"female/gender non-conforming",0,1,"1-2","yes","no","rv"
13,2026-02-05,"31-40",55104,"he/him",0,1,"1-2","yes","no","rv"
14,2026-02-05,"31-40",55112,"he/him",0,2,"1-2","yes","no","rv"
15,2026-02-05,"31-40",55316,"he/him",0,2,"1-2","yes","no","rv"
16,2026-02-05,"31-40",55345,"male","1-2",2,"3-4","yes","no","rv"
17,2026-02-05,"31-40",55403,"male","1-2",2,"3-4","yes","no","rv"
18,2026-02-05,"31-40",55405,"male","1-2",2,"3-4","yes","no","rv"
19,2026-02-05,"31-40",55406,"male","1-2",2,"3-4","yes","no","rv"
20,2026-02-05,"31-40",55406,"male","1-2",3,"3-4","yes","no","rv"
21,2026-02-05,"41-50",55407,"male","1-2",3,"3-4","yes","no","rv"
22,2026-02-05,"41-50",55407,"male","1-2",3,"3-4","yes","no","rv"
23,2026-02-05,"41-50",55408,"male","1-2",3,"5-6","yes","no","rv"
24,2026-02-05,"41-50",55408,"male","3-4",3,"5-6","yes","no","structure"
25,2026-02-05,"41-50",55412,"male","3-4",3,"5-6","yes","no","tent"
26,2026-02-05,"41-50",55413,"male","3-4",3,"5-6","yes","no","tent"
27,2026-02-05,"41-50",55413,"male","3-4",3,"5-6","yes","no","tent"
28,2026-02-05,"41-50",55416,"male","3-4",3,"5-6","yes","no","tent"
29,2026-02-05,"41-50",55417,"male","3-4",3,"5-6","yes","no","tent"
30,2026-02-05,"41-50",55418,"male","3-4",3,"5-6","yes","no","tent"
31,2026-02-05,"41-50",55418,"male","3-4",3,"5-6","yes","yes","tent"
32,2026-02-05,"41-50",55418,"male","5-6",3,"5-6","yes","yes","tent"
33,2026-02-05,"41-50",55418,"male","5-6",3,"5-6","yes","yes","tent"
34,2026-02-06,"41-50",55418,"male","5-6",3,"5-6","yes","yes","tent"
35,2026-02-06,"41-50",55418,"male","5-6",3,"7-8","yes","yes","tent"
36,2026-02-06,"41-50",55441,"male","7-8",3,"7-8","yes","yes","tent"
37,2026-02-06,"41-50",55712,"male","7-8",3,"11+","yes","yes","tent"
38,2026-02-06,"41-50",55712,"nb","9-10",3,"11+","yes","yes","tent"
39,2026-02-06,"51-60",55756,"nb","9-10",3,"11+","yes","yes","tent"
40,2026-02-06,"51-60",56044,"she/they","11+",3,"11+","yes","yes","tent"
41,2026-02-06,"51-60",56401,"whatever","11+",3,"11+","yes","yes","tent"
42,2026-02-07,"51-60",56444,"woman/non-binary","11+",3,"11+","yes","yes","tent"
43,"n/a","70+","n/a","yeah","11+",3,,"yes","yes","van"
44,"n/a",,,,,3,,,,
